Setting Key,Context,Http Method,Http URL,Parameter description,Setting description
SubscriptionSettings,Entity,GET,/settings/subscription-settings,,Setting for Subscription
SubscriptionSettings,Entity,PUT,/settings/subscription-settings,,Setting for Subscription
AllSummaryStatementTemplates,Tenant,GET,/settings/summary-statement-templates,,Setting for Summary Statement Templates
AllSummaryStatementTemplates,Tenant,POST,/settings/summary-statement-templates,,Setting for Summary Statement Templates
SummaryStatementTemplatesReplacements,Entity,POST,/settings/summary-statement-templates-replacements,,Settings for Summary Statement Templates Replacements
SummaryStatementTemplate,Tenant,GET,/settings/summary-statement-templates/{templateId},templateId = Unique Id of the Summary Statement Template,Setting for Summary Statement Template
SummaryStatementTemplate,Tenant,PUT,/settings/summary-statement-templates/{templateId},templateId = Unique Id of the Summary Statement Template,Setting for Summary Statement Template
SummaryStatementTemplate,Tenant,DELETE,/settings/summary-statement-templates/{templateId},templateId = Unique Id of the Summary Statement Template,Setting for Summary Statement Template
AllTaxCode,Entity,GET,/settings/tax-codes,,Read all tax code
CreateAvalaraTaxCode,Entity,POST,/settings/tax-codes/avalara,,Create tax code under Avalara Tax Engine
AvalaraTaxCode,Entity,GET,/settings/tax-codes/avalara/{id},id = Unique Id of tax code,Setting for tax code under Avalara Tax Engine
AvalaraTaxCode,Entity,PUT,/settings/tax-codes/avalara/{id},id = Unique Id of tax code,Setting for tax code under Avalara Tax Engine
AvalaraTaxCode,Entity,DELETE,/settings/tax-codes/avalara/{id},id = Unique Id of tax code,Setting for tax code under Avalara Tax Engine
CreateConnectorTaxCode,Entity,POST,/settings/tax-codes/connector,,Create tax code under Connector Tax Engine
ConnectorTaxCode,Entity,GET,/settings/tax-codes/connector/{id},id = Unique Id of connector tax code,Setting for tax code under Connector Tax Engine
ConnectorTaxCode,Entity,PUT,/settings/tax-codes/connector/{id},id = Unique Id of connector tax code,Setting for tax code under Connector Tax Engine
ConnectorTaxCode,Entity,DELETE,/settings/tax-codes/connector/{id},id = Unique Id of connector tax code,Setting for tax code under Connector Tax Engine
CreateGlobalTaxHubTaxCode,Entity,POST,/settings/tax-codes/global-tax-hub,,Create tax code under Global Tax Hub Tax Engine
GlobalTaxHubTaxCode,Entity,GET,/settings/tax-codes/global-tax-hub/{id},id = Unique Id of Global Tax Hub tax code,Setting for tax code under Global Tax Hub Tax Engine
GlobalTaxHubTaxCode,Entity,PUT,/settings/tax-codes/global-tax-hub/{id},id = Unique Id of Global Tax Hub tax code,Setting for tax code under Global Tax Hub Tax Engine
GlobalTaxHubTaxCode,Entity,DELETE,/settings/tax-codes/global-tax-hub/{id},id = Unique Id of Global Tax Hub tax code,Setting for tax code under Global Tax Hub Tax Engine
CreateZuoraTaxCode,Entity,POST,/settings/tax-codes/ztax,,Create tax code under Zuora Tax Engine
ZuoraTaxCode,Entity,GET,/settings/tax-codes/ztax/{id},id = Unique Id of tax code,Setting for tax code under Zuora Tax Engine
ZuoraTaxCode,Entity,PUT,/settings/tax-codes/ztax/{id},id = Unique Id of tax code,Setting for tax code under Zuora Tax Engine
ZuoraTaxCode,Entity,DELETE,/settings/tax-codes/ztax/{id},id = Unique Id of tax code,Setting for tax code under Zuora Tax Engine
TaxCompanies,Entity,GET,/settings/tax-companies,,get tax companies under one tax engine
TaxCompanies,Entity,POST,/settings/tax-companies,,get tax companies under one tax engine
TaxCompany,Entity,GET,/settings/tax-companies/{id},id = Unique Id of Tax Company,Setting for tax company
TaxCompany,Entity,PUT,/settings/tax-companies/{id},id = Unique Id of Tax Company,Setting for tax company
TaxCompany,Entity,DELETE,/settings/tax-companies/{id},id = Unique Id of Tax Company,Setting for tax company
TaxEngines,Entity,GET,/settings/tax-engines/{id},id = Unique Id of tax engine,Setting for Tax Engine
TaxEngines,Entity,PUT,/settings/tax-engines/{id},id = Unique Id of tax engine,Setting for Tax Engine
TaxEngines,Entity,DELETE,/settings/tax-engines/{id},id = Unique Id of tax engine,Setting for Tax Engine
AllTaxEngines,Entity,GET,/settings/tax-engines,,Setting for all Tax Engines
