source_url,source_title,source_sidebar_label,source_h1,source_description,normalized_path,nav_section,converted_file,status,notes
https://developer.zuora.com/sdk-changelogs/csharp/changelog-140/,C# client library 1.4.0 changelog,1.4.0,C# client library 1.4.0 changelog,,/sdk-changelogs/csharp/changelog-140,Documentation,sdk-changelogs/csharp/changelog-140.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/csharp/changelog-150/,C# client library 1.5.0 changelog,1.5.0,C# client library 1.5.0 changelog,,/sdk-changelogs/csharp/changelog-150,Documentation,sdk-changelogs/csharp/changelog-150.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/csharp/changelog-160/,C# client library 1.6.0 changelog,1.6.0,C# client library 1.6.0 changelog,,/sdk-changelogs/csharp/changelog-160,Documentation,sdk-changelogs/csharp/changelog-160.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/csharp/changelog-170/,C# client library 1.7.0 changelog,1.7.0,C# client library 1.7.0 changelog,,/sdk-changelogs/csharp/changelog-170,Documentation,sdk-changelogs/csharp/changelog-170.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/csharp/changelog-180/,C# client library 1.8.0 changelog,1.8.0,C# client library 1.8.0 changelog,,/sdk-changelogs/csharp/changelog-180,Documentation,sdk-changelogs/csharp/changelog-180.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/csharp/changelog-190/,C# client library 1.9.0 changelog,1.9.0,C# client library 1.9.0 changelog,,/sdk-changelogs/csharp/changelog-190,Documentation,sdk-changelogs/csharp/changelog-190.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/java/changelog-3100/,Java client library 3.10.0 changelog,3.10.0,Java client library 3.10.0 changelog,,/sdk-changelogs/java/changelog-3100,Documentation,sdk-changelogs/java/changelog-3100.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/java/changelog-3110/,Java client library 3.11.0 changelog,3.11.0,Java client library 3.11.0 changelog,,/sdk-changelogs/java/changelog-3110,Documentation,sdk-changelogs/java/changelog-3110.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/java/changelog-3120/,Java client library 3.12.0 changelog,3.12.0,Java client library 3.12.0 changelog,,/sdk-changelogs/java/changelog-3120,Documentation,sdk-changelogs/java/changelog-3120.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/java/changelog-3130/,Java client library 3.13.0 changelog,3.13.0,Java client library 3.13.0 changelog,,/sdk-changelogs/java/changelog-3130,Documentation,sdk-changelogs/java/changelog-3130.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/java/changelog-3140/,Java client library 3.14.0 changelog,3.14.0,Java client library 3.14.0 changelog,,/sdk-changelogs/java/changelog-3140,Documentation,sdk-changelogs/java/changelog-3140.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/java/changelog-3150/,Java client library 3.15.0 changelog,3.15.0,Java client library 3.15.0 changelog,,/sdk-changelogs/java/changelog-3150,Documentation,sdk-changelogs/java/changelog-3150.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
https://developer.zuora.com/sdk-changelogs/java/changelog-3160/,Java client library 3.16.0 changelog,3.16.0,Java client library 3.16.0 changelog,,/sdk-changelogs/java/changelog-3160,Documentation,sdk-changelogs/java/changelog-3160.md,done,Converted from Redocly Markdoc to Mintlify MDX-compatible Markdown.
